tweet,tweet_id,image_url,label
震惊 转发 求证 想 都 不 敢 想 在 美国 一 桶 金龙鱼 食用油 只要 8 元 人民币 一 桶 食用油 相当 于 中国 超市 40 多 元 现在 估计 已经 涨 到 五六十 元 了 的 金龙鱼 在 纽约 沃尔玛感 恩节 时 是 16 美元 圣诞节 降 至 13 美元 折合 人民币 858 元 而且 油 是 绿色 纯天然 的 不 是 转基因 的 为什 么 中国 一 桶 食用油 要 卖 几十 上百 元,3511947309647762,a71ac854gw1dytin2zmk9j,1
法院 无 底线 湖南 长沙 一 位 小朋友 上学 路上 捡 到 3万 元 原地 不 动 等 失主 结果 被 人 冒领 不 知情 的 孩子 到 学校 告知 老师 被 表扬 好人好事 很快 传开 真 失主 听说 后 找 上门 要 钱 未果 竟然 把 孩子 告 上 法庭 法院 判决 孩子 家 长 赔偿 6000 元 气 得 家 长大 骂 孩子 谁 让 你 手贱 捡 那 钱by 潇湘 墨人 3 千 里,3576100079039606,3ba161e7jw1e4i6j4ep61j211n0r4juz,1
转发 我校 需要 小孩 的 衣服 新 旧 不 限 西藏 阿 里 地区 是 世界 海拔 最高 的 地区 请问 周围 有 没 有 四 到 十 岁 孩子 的 旧 衣服 和 鞋子 洗 干净 就 可以 因为 小朋友 衣服 少 捐 的 人 少所以 这个 岁数 的 孩子 缺 衣服 如果 有 合适 的 衣服 可以 邮寄 的 地址 西藏 阿 里 地区 札达县 曲松乡 中心 小学 邮编 857000年 校长 曲旦 18889073300,3899073935617462,006ajvCngw1ex4jjl2pwlj30c8096wf7,1
立刻 检查 一下 你 家 里 的 牙膏 如果 是 黑色 条 马上 扔掉 大 家 买 膏请 留心 买 牙膏 时 注意 牙膏管 反面底部 的 颜色 条 尽量 选择 绿色 和 蓝色 共 分 4 种 绿 蓝 红 黑 绿色 纯天然 蓝色 天然 药物 红色 天然 化学 成分 黑色 纯 化学 国内 的 牙膏 包括 儿童 牙膏 居然 大多 都 是 化学 的 太 过分 了 吧,3584521306131914,6112c76ajw1e591p39mpej20hw094mxh,1
快快 转发 急急急 中央 电视台 焦点 访谈 已经 播出 可口可乐 承认 旗 下 果粒 橙 含有 美国 禁用 农药 多 菌 灵多菌灵 可 致脑 麻痹 肝 脏 肿瘤 等 癌症 包括 香港 正在 销售 的 果粒 橙 香港 食环署 正在 了 解此 事件 我 在 2 朱房路,3553661986467439,a5404163jw1e2iljwbrztj,1
不 要 再 随便 买 奶制品 给 孩子 喝 了 ❗️ 幼儿园 都 发 通知 了 家长 们 注意 现在 得 白血病 的 小孩 越 来 越 多 妇幼 保健院 提示 您 请 不 要 给 宝宝 喝 爽歪歪 和 有 添加剂 的 牛奶 饮料 告诉 家 里 有 小孩 的 朋友 旺仔 牛奶 可口可乐 爽歪歪娃 哈哈ad 钙 奶 未 来 星q q星 美汁 源果 粒 奶 优菠 萝味 的 都 含有 肉毒杆 菌 现在 紧急 召回,3869510824498067,b7009851jw1eui8agp0bmj20no0vk7bl,1
中国 80 吨 国库 黄金 下落不明 香港 动向 财政部 央行 监察部 和 审计署 已经 成立 专案组 调查 存放 在 八 个 省市 国库 内 的 黄金 储备 有 八十 吨 下落不明 如果 属实 一定 是 官员 合伙 盗窃 战乱 时期 蒋介石 历时 半 年 把 450万 两 黄金 运往 台湾 都 没 丢 一两 现在 国库 黄金 不 翼而飞o网 页链 接,3481914981436811,60e9e5ebjw1dw5pitsxomj,1
转贴 35 人 死亡 编制 35 神奇 的 数字 动车 相撞 35 人 死亡 重庆 暴雨 35 人 死亡 河南 平顶山 矿 难 35 人 死亡 山西 临汾 矿 难 35 人 死亡 深圳 黄田 机场 空难 35 人 死亡 云南 曲靖 假酒案 35 人 死亡 辽宁 铁岭 烟花厂 爆炸 35 人 死亡 因为 超过 36 人 市委 书记 级别 官员 要 就地 免职故 许多 事件 发生 后 注定 死亡 人数 不 超 36 人,3794143225010105,67747bd2jw1entsej8zo0j20bx0bo0td,1
爱 四川 藏区 需要 4 一 10 岁 小孩 的 衣服 和 鞋子 新 旧 不 限洗 干净 就 可以 地址 四川省 甘孜 藏族 石渠县 西区 长沙 贡马乡 小学 邮编 627350 校长 达洼 15884044467 如果 没有 合适 的 衣服 可以 邮寄 帮忙 转 一下 贴 也 好 也 许 您 的 一下 简单 复制 就 能 给 孩子 们 一个 幸福 的 明天 天气 冷 给 孩子 们 添 加 些 棉衣 寄 过去 吧 爱,3534295853120535,5fd72d2cjw1e0stdrdiioj,1
妇幼 保健院 提示 您 请 不 要 给 宝宝 喝 爽歪歪 和 有 添加剂 的 牛奶 饮料 告诉 家 里 有 小孩 的 朋友 刚 看 了 新闻 旺仔 牛奶 可口可乐 爽歪歪娃 哈哈ad 钙 奶 多 美 滋雅 培美 汁源果 粒 奶 优菠 萝味 的 都 含有 肉毒杆 菌 现在 紧急 召回 望 家 长 朋友 们 爱 孩子 就 别 给 他 喝 了 转,3827134097196962,9d18bd0ejw1eqr1e1phy3j20go0m8abq,1
急 找 孩子 求 转求 帮忙 实验 小学 寻人 启事 13759695559 帮忙 扩散 今天 上午 一个 三 岁 多 小 女孩 在 临沂市 锦绣 花园 小区 附近 被 人 拐 走 了 小 女孩 能 说 出 她 爸爸 的 手机 号码 从 监控 上 看 是 被 一个 四十 多 岁 男人 抱 走 了 现 大人 都 急 疯 了 有 知情者 请告 之 万分 感谢 看到 信息 的 兄弟 姐妹 留意 一下 联系人 张静杰 13759695559,3788536672989918,6d0dd6cdjw1enbwjdver1j20in0etq6h,1
